pid,list,item,variant,tense,sentence,target_verb,n_syllables,stress_idx,stress_start,stress_end,verb_syllable_labels,file
P01,1,30,a,present,la nena corta la cartulina,corta,2,0,0.77,0.94,kor.t̪a,P01_L1_30a
P01,1,30,b,past,la nena cortó la cartulina,cortó,2,1,0.87,1.07,kor.t̪o,P01_L1_30b
P01,1,31,a,present,el móvil busca la señal,busca,2,0,0.72,0.93,bus.ka,P01_L1_31a
P01,1,31,b,past,el móvil buscó la señal,buscó,2,1,0.79,0.96,bus.ko,P01_L1_31b
P01,1,32,a,present,el coche limpia la nieve,limpia,2,0,0.6,0.82,lim.pja,P01_L1_32a
P01,1,32,b,past,el coche limpió la nieve,limpió,2,1,0.85,1.04,lim.pjo,P01_L1_32b
P01,1,33,a,present,la reina planta el rosal,planta,2,0,0.79,1.0,plan.t̪a,P01_L1_33a
P01,1,33,b,past,la reina plantó el rosal,plantó,2,1,0.9,1.03,plan.t̪o,P01_L1_33b
P01,1,34,a,present,la jarra filtra el caldo,filtra,2,0,0.69,0.97,filt̪.ɾa,P01_L1_34a
P01,1,34,b,past,la jarra filtró el caldo,filtró,2,1,1.15,1.3,filt̪.ɾo,P01_L1_34b
P01,1,35,a,present,el monje monta la mayonesa,monta,2,0,0.62,0.89,mon.t̪a,P01_L1_35a
P01,1,35,b,past,el monje montó la mayonesa,montó,2,1,1.12,1.3,mon.t̪o,P01_L1_35b
P01,1,36,a,present,el loro canta la melodía,canta,2,0,0.79,0.99,kan.t̪a,P01_L1_36a
P01,1,36,b,past,el loro cantó la melodía,cantó,2,1,0.74,0.86,kan.t̪o,P01_L1_36b
P01,1,37,a,present,el clavo junta la madera,junta,2,0,0.85,1.09,xun.t̪a,P01_L1_37a
P01,1,37,b,past,el clavo juntó la madera,juntó,2,1,0.95,1.11,xun.t̪o,P01_L1_37b
P01,1,38,a,present,el sastre marca el traje,marca,2,0,0.79,1.06,mar.ka,P01_L1_38a
P01,1,38,b,past,el sastre marcó el traje,marcó,2,1,0.95,1.12,mar.ko,P01_L1_38b
P01,1,39,a,present,la brocha mezcla la pintura,mezcla,2,0,0.81,1.0,meθ.kla,P01_L1_39a
P01,1,39,b,past,la brocha mezcló la pintura,mezcló,2,1,1.09,1.28,meθ.klo,P01_L1_39b
P01,1,40,a,present,la suegra sopla la sopa,sopla,2,0,0.73,0.98,so.pla,P01_L1_40a
P01,1,40,b,past,la suegra sopló la sopa,sopló,2,1,0.93,1.09,so.plo,P01_L1_40b
P01,1,41,a,present,el conde culpa el error,culpa,2,0,0.82,1.09,kul.pa,P01_L1_41a
P01,1,41,b,past,el conde culpó el error,culpó,2,1,0.91,1.08,kul.po,P01_L1_41b
P01,1,42,a,present,el zumo mancha la servilleta,mancha,2,0,0.67,0.87,man.tʃa,P01_L1_42a
P01,1,42,b,past,el zumo manchó la servilleta,manchó,2,1,0.84,1.08,man.tʃo,P01_L1_42b
P01,1,43,a,present,la jueza gasta el sueldo,gasta,2,0,0.76,0.98,ɡas.t̪a,P01_L1_43a
P01,1,43,b,past,la jueza gastó el sueldo,gastó,2,1,1.02,1.16,ɡas.t̪o,P01_L1_43b
P01,1,44,a,present,la rana salta la piedra,salta,2,0,0.77,1.03,sal.t̪a,P01_L1_44a
P01,1,44,b,past,la rana saltó la piedra,saltó,2,1,0.79,0.92,sal.t̪o,P01_L1_44b
P01,1,45,a,present,el láser corta el acero,corta,2,0,0.71,0.88,kor.t̪a,P01_L1_45a
P01,1,45,b,past,el láser cortó el acero,cortó,2,1,0.95,1.14,kor.t̪o,P01_L1_45b
P01,1,46,a,present,el padre busca el libro,busca,2,0,0.58,0.76,bus.ka,P01_L1_46a
P01,1,46,b,past,el padre buscó el libro,buscó,2,1,0.88,1.08,bus.ko,P01_L1_46b
P01,1,47,a,present,la lluvia limpia la calle,limpia,2,0,0.71,0.93,lim.pja,P01_L1_47a
P01,1,47,b,past,la lluvia limpió la calle,limpió,2,1,1.08,1.31,lim.pjo,P01_L1_47b
P01,1,48,a,present,el líder planta la semilla,planta,2,0,0.7,0.95,plan.t̪a,P01_L1_48a
P01,1,48,b,past,el líder plantó la semilla,plantó,2,1,0.92,1.07,plan.t̪o,P01_L1_48b
P01,1,49,a,present,la tela filtra el café,filtra,2,0,0.76,1.1,filt̪.ɾa,P01_L1_49a
P01,1,49,b,past,la tela filtró el café,filtró,2,1,1.06,1.16,filt̪.ɾo,P01_L1_49b
P01,1,50,a,present,la dueña monta la tienda,monta,2,0,0.61,0.82,mon.t̪a,P01_L1_50a
P01,1,50,b,past,la dueña montó la tienda,montó,2,1,0.94,1.13,mon.t̪o,P01_L1_50b
P01,1,51,a,present,la gorda canta la ópera,canta,2,0,0.78,1.0,kan.t̪a,P01_L1_51a
P01,1,51,b,past,la gorda cantó la ópera,cantó,2,1,0.84,0.99,kan.t̪o,P01_L1_51b
P01,1,52,a,present,el primo junta el papel,junta,2,0,0.78,1.02,xun.t̪a,P01_L1_52a
P01,1,52,b,past,el primo juntó el papel,juntó,2,1,0.81,0.92,xun.t̪o,P01_L1_52b
P01,1,53,a,present,el hombre marca la ruta,marca,2,0,0.67,0.91,mar.ka,P01_L1_53a
P01,1,53,b,past,el hombre marcó la ruta,marcó,2,1,0.82,0.97,mar.ko,P01_L1_53b
P01,1,54,a,present,el lago mezcla la tierra,mezcla,2,0,0.66,0.87,meθ.kla,P01_L1_54a
P01,1,54,b,past,el lago mezcló la tierra,mezcló,2,1,0.86,1.03,meθ.klo,P01_L1_54b
P01,1,55,a,present,la chica sopla el polvo,sopla,2,0,0.69,0.95,so.pla,P01_L1_55a
P01,1,55,b,past,la chica sopló el polvo,sopló,2,1,0.96,1.16,so.plo,P01_L1_55b
P01,1,56,a,present,la ama culpa la demora,culpa,2,0,0.64,0.84,kul.pa,P01_L1_56a
P01,1,56,b,past,la ama culpó la demora,culpó,2,1,0.86,1.03,kul.po,P01_L1_56b
P01,1,57,a,present,el vino mancha la mesa,mancha,2,0,0.67,0.88,man.tʃa,P01_L1_57a
P01,1,57,b,past,el vino manchó la mesa,manchó,2,1,0.68,0.86,man.tʃo,P01_L1_57b
P01,1,58,a,present,el carro gasta la gasolina,gasta,2,0,0.67,0.87,ɡas.t̪a,P01_L1_58a
P01,1,58,b,past,el carro gastó la gasolina,gastó,2,1,0.76,0.89,ɡas.t̪o,P01_L1_58b
P01,1,59,a,present,el niño salta el charco,salta,2,0,0.51,0.79,sal.t̪a,P01_L1_59a
P01,1,59,b,past,el niño saltó el charco,saltó,2,1,0.92,1.07,sal.t̪o,P01_L1_59b
P01,1,60,a,present,la rata corta el queso,corta,2,0,0.75,1.02,kor.t̪a,P01_L1_60a
P01,1,60,b,past,la rata cortó el queso,cortó,2,1,0.81,0.99,kor.t̪o,P01_L1_60b
P01,1,61,a,present,la vaca busca la paja,busca,2,0,0.59,0.78,bus.ka,P01_L1_61a
P01,1,61,b,past,la vaca buscó la paja,buscó,2,1,0.76,0.9,bus.ko,P01_L1_61b
P01,1,62,a,present,la prima limpia el baño,limpia,2,0,0.65,0.86,lim.pja,P01_L1_62a
P01,1,62,b,past,la prima limpió el baño,limpió,2,1,0.71,0.95,lim.pjo,P01_L1_62b
P01,1,63,a,present,la vieja planta el jazmín,planta,2,0,0.71,0.93,plan.t̪a,P01_L1_63a
P01,1,63,b,past,la vieja plantó el jazmín,plantó,2,1,0.94,1.13,plan.t̪o,P01_L1_63b
P01,1,64,a,present,el filtro filtra el aire,filtra,2,0,1.26,1.6,filt̪.ɾa,P01_L1_64a
P01,1,64,b,past,el filtro filtró el aire,filtró,2,1,1.38,1.63,filt̪.ɾo,P01_L1_64b
P01,1,65,a,present,la jefa monta el escritorio,monta,2,0,0.95,1.22,mon.t̪a,P01_L1_65a
P01,1,65,b,past,la jefa montó el escritorio,montó,2,1,0.89,1.06,mon.t̪o,P01_L1_65b
P01,1,66,a,present,la guapa canta la nana,canta,2,0,0.66,0.91,kan.t̪a,P01_L1_66a
P01,1,66,b,past,la guapa cantó la nana,cantó,2,1,1.01,1.13,kan.t̪o,P01_L1_66b
P01,1,67,a,present,la nuera junta el cartón,junta,2,0,0.73,1.01,xun.t̪a,P01_L1_67a
P01,1,67,b,past,la nuera juntó el cartón,juntó,2,1,0.92,1.13,xun.t̪o,P01_L1_67b
P01,1,68,a,present,la grasa marca la pared,marca,2,0,0.7,0.97,mar.ka,P01_L1_68a
P01,1,68,b,past,la grasa marcó la pared,marcó,2,1,1.08,1.23,mar.ko,P01_L1_68b
P01,1,69,a,present,la flaca mezcla el yogur,mezcla,2,0,0.92,1.15,meθ.kla,P01_L1_69a
P01,1,69,b,past,la flaca mezcló el yogur,mezcló,2,1,1.05,1.23,meθ.klo,P01_L1_69b
P01,1,70,a,present,el huésped sopla la pizza,sopla,2,0,0.87,1.1,so.pla,P01_L1_70a
P01,1,70,b,past,el huésped sopló la pizza,sopló,2,1,0.98,1.18,so.plo,P01_L1_70b
P01,1,71,a,present,el cónsul culpa la crisis,culpa,2,0,1.23,1.44,kul.pa,P01_L1_71a
P01,1,71,b,past,el cónsul culpó la crisis,culpó,2,1,1.13,1.39,kul.po,P01_L1_71b
P01,1,72,a,present,la rueda mancha el garaje,mancha,2,0,0.94,1.22,man.tʃa,P01_L1_72a
P01,1,72,b,past,la rueda manchó el garaje,manchó,2,1,1.06,1.34,man.tʃo,P01_L1_72b
P01,1,73,a,present,la rica gasta el crédito,gasta,2,0,0.94,1.2,ɡas.t̪a,P01_L1_73a
P01,1,73,b,past,la rica gastó el crédito,gastó,2,1,0.98,1.13,ɡas.t̪o,P01_L1_73b
P01,1,74,a,present,la cabra salta la valla,salta,2,0,0.68,0.95,sal.t̪a,P01_L1_74a
P01,1,74,b,past,la cabra saltó la valla,saltó,2,1,1.2,1.34,sal.t̪o,P01_L1_74b
P01,1,75,a,present,el mozo corta la cinta,corta,2,0,1.2,1.4,kor.t̪a,P01_L1_75a
P01,1,75,b,past,el mozo cortó la cinta,cortó,2,1,1.11,1.35,kor.t̪o,P01_L1_75b
P01,1,76,a,present,la rubia busca el anillo,busca,2,0,0.62,0.84,bus.ka,P01_L1_76a
P01,1,76,b,past,la rubia buscó el anillo,buscó,2,1,0.98,1.11,bus.ko,P01_L1_76b
P01,1,77,a,present,el trapo limpia la suciedad,limpia,2,0,0.58,0.77,lim.pja,P01_L1_77a
P01,1,77,b,past,el trapo limpió la suciedad,limpió,2,1,0.92,1.19,lim.pjo,P01_L1_77b
P01,1,78,a,present,el cura planta el geranio,planta,2,0,0.81,1.04,plan.t̪a,P01_L1_78a
P01,1,78,b,past,el cura plantó el geranio,plantó,2,1,1.02,1.18,plan.t̪o,P01_L1_78b
P01,1,79,a,present,la malla filtra el aceite,filtra,2,0,0.69,0.98,filt̪.ɾa,P01_L1_79a
P01,1,79,b,past,la malla filtró el aceite,filtró,2,1,1.26,1.36,filt̪.ɾo,P01_L1_79b
P01,1,80,a,present,el nieto monta la estantería,monta,2,0,0.55,0.76,mon.t̪a,P01_L1_80a
P01,1,80,b,past,el nieto montó la estantería,montó,2,1,0.74,0.99,mon.t̪o,P01_L1_80b
P01,1,81,a,present,el viejo canta el bolero,canta,2,0,0.66,0.85,kan.t̪a,P01_L1_81a
P01,1,81,b,past,el viejo cantó el bolero,cantó,2,1,0.94,1.05,kan.t̪o,P01_L1_81b
P01,1,82,a,present,la gata junta la comida,junta,2,0,0.58,0.82,xun.t̪a,P01_L1_82a
P01,1,82,b,past,la gata juntó la comida,juntó,2,1,0.74,0.88,xun.t̪o,P01_L1_82b
P01,1,83,a,present,la bici marca el suelo,marca,2,0,0.65,0.88,mar.ka,P01_L1_83a
P01,1,83,b,past,la bici marcó el suelo,marcó,2,1,0.87,1.03,mar.ko,P01_L1_83b
P01,1,84,a,present,la presa mezcla el cemento,mezcla,2,0,0.58,0.81,meθ.kla,P01_L1_84a
P01,1,84,b,past,la presa mezcló el cemento,mezcló,2,1,0.85,0.99,meθ.klo,P01_L1_84b
P01,1,85,a,present,la monja sopla el fuego,sopla,2,0,1.28,1.57,so.pla,P01_L1_85a
P01,1,85,b,past,la monja sopló el fuego,sopló,2,1,1.14,1.38,so.plo,P01_L1_85b
P01,1,86,a,present,la novia culpa el calor,culpa,2,0,0.62,0.87,kul.pa,P01_L1_86a
P01,1,86,b,past,la novia culpó el calor,culpó,2,1,0.91,1.12,kul.po,P01_L1_86b
P01,1,87,a,present,la sangre mancha la falda,mancha,2,0,0.68,0.9,man.tʃa,P01_L1_87a
P01,1,87,b,past,la sangre manchó la falda,manchó,2,1,0.89,1.09,man.tʃo,P01_L1_87b
P01,1,88,a,present,el novio gasta el jabón,gasta,2,0,0.73,0.97,ɡas.t̪a,P01_L1_88a
P01,1,88,b,past,el novio gastó el jabón,gastó,2,1,0.97,1.28,ɡas.t̪o,P01_L1_88b
P01,1,89,a,present,el mago salta el obstáculo,salta,2,0,0.72,1.04,sal.t̪a,P01_L1_89a
P01,1,89,b,past,el mago saltó el obstáculo,saltó,2,1,0.8,0.94,sal.t̪o,P01_L1_89b
P01,1,90,a,present,la mula corta el heno,corta,2,0,1.06,1.28,kor.t̪a,P01_L1_90a
P01,1,90,b,past,la mula cortó el heno,cortó,2,1,1.11,1.33,kor.t̪o,P01_L1_90b
P01,2,1,a,present,el dueño busca la llave,busca,2,0,0.66,0.85,bus.ka,P01_L2_01a
P01,2,1,b,past,el dueño buscó la llave,buscó,2,1,0.89,1.04,bus.ko,P01_L2_01b
P01,2,2,a,present,el cloro limpia el virus,limpia,2,0,0.58,0.78,lim.pja,P01_L2_02a
P01,2,2,b,past,el cloro limpió el virus,limpió,2,1,0.87,1.07,lim.pjo,P01_L2_02b
P01,2,3,a,present,el hijo planta el árbol,planta,2,0,0.57,0.81,plan.t̪a,P01_L2_03a
P01,2,3,b,past,el hijo plantó el árbol,plantó,2,1,0.82,0.93,plan.t̪o,P01_L2_03b
P01,2,4,a,present,el grifo filtra el agua,filtra,2,0,0.68,1.04,filt̪.ɾa,P01_L2_04a
P01,2,4,b,past,el grifo filtró el agua,filtró,2,1,1.12,1.27,filt̪.ɾo,P01_L2_04b
P01,2,5,a,present,el tío monta el alioli,monta,2,0,0.83,1.1,mon.t̪a,P01_L2_05a
P01,2,5,b,past,el tío montó el alioli,montó,2,1,0.9,1.01,mon.t̪o,P01_L2_05b
P01,2,6,a,present,el ave canta la canción,canta,2,0,0.59,0.85,kan.t̪a,P01_L2_06a
P01,2,6,b,past,el ave cantó la canción,cantó,2,1,0.92,1.02,kan.t̪o,P01_L2_06b
P01,2,7,a,present,la joven junta la basura,junta,2,0,0.57,0.87,xun.t̪a,P01_L2_07a
P01,2,7,b,past,la joven juntó la basura,juntó,2,1,1.02,1.14,xun.t̪o,P01_L2_07b
P01,2,8,a,present,la osa marca la puerta,marca,2,0,0.55,0.79,mar.ka,P01_L2_08a
P01,2,8,b,past,la osa marcó la puerta,marcó,2,1,0.93,1.04,mar.ko,P01_L2_08b
P01,2,9,a,present,el río mezcla la arena,mezcla,2,0,0.71,1.0,meθ.kla,P01_L2_09a
P01,2,9,b,past,el río mezcló la arena,mezcló,2,1,0.86,1.04,meθ.klo,P01_L2_09b
P01,2,10,a,present,el suegro sopla la vela,sopla,2,0,0.78,1.02,so.pla,P01_L2_10a
P01,2,10,b,past,el suegro sopló la vela,sopló,2,1,1.61,1.76,so.plo,P01_L2_10b
P01,2,11,a,present,el yerno culpa el ruido,culpa,2,0,0.81,0.99,kul.pa,P01_L2_11a
P01,2,11,b,past,el yerno culpó el ruido,culpó,2,1,0.99,1.22,kul.po,P01_L2_11b
P01,2,12,a,present,la tinta mancha la camisa,mancha,2,0,0.64,0.84,man.tʃa,P01_L2_12a
P01,2,12,b,past,la tinta manchó la camisa,manchó,2,1,0.87,1.04,man.tʃo,P01_L2_12b
P01,2,13,a,present,la doña gasta el dinero,gasta,2,0,0.62,0.91,ɡas.t̪a,P01_L2_13a
P01,2,13,b,past,la doña gastó el dinero,gastó,2,1,0.89,0.97,ɡas.t̪o,P01_L2_13b
P01,2,14,a,present,la perra salta la cerca,salta,2,0,0.64,0.91,sal.t̪a,P01_L2_14a
P01,2,14,b,past,la perra saltó la cerca,saltó,2,1,1.07,1.24,sal.t̪o,P01_L2_14b
P01,2,15,a,present,el cúter corta el paquete,corta,2,0,0.73,0.95,kor.t̪a,P01_L2_15a
P01,2,15,b,past,el cúter cortó el paquete,cortó,2,1,0.83,0.94,kor.t̪o,P01_L2_15b
P01,2,16,a,present,la niña busca el gato,busca,2,0,0.53,0.76,bus.ka,P01_L2_16a
P01,2,16,b,past,la niña buscó el gato,buscó,2,1,0.98,1.1,bus.ko,P01_L2_16b
P01,2,17,a,present,la madre limpia la casa,limpia,2,0,0.53,0.75,lim.pja,P01_L2_17a
P01,2,17,b,past,la madre limpió la casa,limpió,2,1,0.77,0.93,lim.pjo,P01_L2_17b
P01,2,18,a,present,la hija planta la flor,planta,2,0,0.62,0.88,plan.t̪a,P01_L2_18a
P01,2,18,b,past,la hija plantó la flor,plantó,2,1,0.78,0.89,plan.t̪o,P01_L2_18b
P01,2,19,a,present,el termo filtra el té,filtra,2,0,0.67,1.09,filt̪.ɾa,P01_L2_19a
P01,2,19,b,past,el termo filtró el té,filtró,2,1,1.18,1.28,filt̪.ɾo,P01_L2_19b
P01,2,20,a,present,la tía monta la nata,monta,2,0,0.54,0.78,mon.t̪a,P01_L2_20a
P01,2,20,b,past,la tía montó la nata,montó,2,1,1.69,1.81,mon.t̪o,P01_L2_20b
P01,2,21,a,present,la nieta canta el himno,canta,2,0,0.6,0.81,kan.t̪a,P01_L2_21a
P01,2,21,b,past,la nieta cantó el himno,cantó,2,1,0.96,1.07,kan.t̪o,P01_L2_21b
P01,2,22,a,present,el duque junta la leña,junta,2,0,0.58,0.89,xun.t̪a,P01_L2_22a
P01,2,22,b,past,el duque juntó la leña,juntó,2,1,1.04,1.15,xun.t̪o,P01_L2_22b
P01,2,23,a,present,el perro marca el territorio,marca,2,0,0.62,0.85,mar.ka,P01_L2_23a
P01,2,23,b,past,el perro marcó el territorio,marcó,2,1,1.11,1.23,mar.ko,P01_L2_23b
P01,2,24,a,present,el lobo mezcla la carne,mezcla,2,0,0.48,0.71,meθ.kla,P01_L2_24a
P01,2,24,b,past,el lobo mezcló la carne,mezcló,2,1,0.72,0.89,meθ.klo,P01_L2_24b
P01,2,25,a,present,el nene sopla el guiso,sopla,2,0,0.51,0.79,so.pla,P01_L2_25a
P01,2,25,b,past,el nene sopló el guiso,sopló,2,1,0.9,1.03,so.plo,P01_L2_25b
P01,2,26,a,present,la dama culpa la tormenta,culpa,2,0,0.65,0.83,kul.pa,P01_L2_26a
P01,2,26,b,past,la dama culpó la tormenta,culpó,2,1,0.81,0.95,kul.po,P01_L2_26b
P01,2,27,a,present,el lodo mancha el pantalón,mancha,2,0,0.55,0.76,man.tʃa,P01_L2_27a
P01,2,27,b,past,el lodo manchó el pantalón,manchó,2,1,0.88,1.01,man.tʃo,P01_L2_27b
P01,2,28,a,present,el chico gasta la pila,gasta,2,0,0.66,0.88,ɡas.t̪a,P01_L2_28a
P01,2,28,b,past,el chico gastó la pila,gastó,2,1,0.91,1.02,ɡas.t̪o,P01_L2_28b
P01,2,29,a,present,el socio salta el control,salta,2,0,0.74,1.01,sal.t̪a,P01_L2_29a
P01,2,29,b,past,el socio saltó el control,saltó,2,1,1.01,1.17,sal.t̪o,P01_L2_29b
P01,2,30,a,present,la nena corta la cartulina,corta,2,0,0.87,1.17,kor.t̪a,P01_L2_30a
P01,2,30,b,past,la nena cortó la cartulina,cortó,2,1,0.81,0.94,kor.t̪o,P01_L2_30b
P01,2,31,a,present,el móvil busca la señal,busca,2,0,0.8,1.02,bus.ka,P01_L2_31a
P01,2,31,b,past,el móvil buscó la señal,buscó,2,1,0.85,1.0,bus.ko,P01_L2_31b
P01,2,32,a,present,el coche limpia la nieve,limpia,2,0,0.61,0.85,lim.pja,P01_L2_32a
P01,2,32,b,past,el coche limpió la nieve,limpió,2,1,1.04,1.19,lim.pjo,P01_L2_32b
P01,2,33,a,present,la reina planta el rosal,planta,2,0,0.9,1.19,plan.t̪a,P01_L2_33a
P01,2,33,b,past,la reina plantó el rosal,plantó,2,1,0.9,0.99,plan.t̪o,P01_L2_33b
P01,2,34,a,present,la jarra filtra el caldo,filtra,2,0,0.83,1.22,filt̪.ɾa,P01_L2_34a
P01,2,34,b,past,la jarra filtró el caldo,filtró,2,1,1.29,1.55,filt̪.ɾo,P01_L2_34b
P01,2,35,a,present,el monje monta la mayonesa,monta,2,0,0.82,1.09,mon.t̪a,P01_L2_35a
P01,2,35,b,past,el monje montó la mayonesa,montó,2,1,1.13,1.23,mon.t̪o,P01_L2_35b
P01,2,36,a,present,el loro canta la melodía,canta,2,0,0.82,1.1,kan.t̪a,P01_L2_36a
P01,2,36,b,past,el loro cantó la melodía,cantó,2,1,1.18,1.47,kan.t̪o,P01_L2_36b
P01,2,37,a,present,el clavo junta la madera,junta,2,0,0.7,1.04,xun.t̪a,P01_L2_37a
P01,2,37,b,past,el clavo juntó la madera,juntó,2,1,1.0,1.37,xun.t̪o,P01_L2_37b
P01,2,38,a,present,el sastre marca el traje,marca,2,0,0.68,1.02,mar.ka,P01_L2_38a
P01,2,38,b,past,el sastre marcó el traje,marcó,2,1,1.35,1.68,mar.ko,P01_L2_38b
P01,2,39,a,present,la brocha mezcla la pintura,mezcla,2,0,0.73,0.99,meθ.kla,P01_L2_39a
